Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,123081,121096,2020-08-13 17:19:07 EDT,2020-08-13,17:19:07,Photo,"2,402",1264,144,667,167,1,155,1,1,2,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10157759949277989,,https://www.facebook.com/vaccinetruth/photos/a.10150455123022989/10157759949167989/?type=3,,"IF YOU'RE PISSED THAT WE WON'T WEAR A MASK, YOU'LL BE REALLY PISSED WHEN WE WON'T GET THE VACCINE. @theintrovertedactivist",,,,,,"2,402",20.71
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,123081,121096,2020-08-26 15:44:35 EDT,2020-08-26,15:44:35,Photo,"2,310",154,121,437,59,5,0,1273,16,245,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10157791128592989,"""Two years ago today you weren’t yourself. You were really lethargic all day. I knew you really didn’t feel well because even when you were sick you usually would still be smiling and happy but you were really out of it and tired all day. Madeline just had gotten a new bed and we were sitting on it and I was reading you a book and I was about 30 seconds into it I turned around and you were passed out. You never fell asleep anywhere besides your crib or in your car seat. I remember telling mommy and sending her this picture because you fell asleep so fast on Madi’s bed and it was not like you. Then I went to try to wake you up shortly after telling Mommy and you weren’t moving. I remember my heart dropped trying to shake you and wake you up finally you opened your eyes and looked at me. It scared me. We were going to take you to the doctor in the morning but you woke up happy again and seemed much better the next day. Looking back you had the fevers on and off the rash from the shot right away, the crying at night, you puked one night in your bed and pediatrician would always say the fevers are normal. It’s not normal you were having a reaction to the vaccine. They tell you to take Tylenol but by doing that it actually depletes you glutathione which is needed to flush out all the toxins and garbage. So by giving you Tylenol we were actually making you weaker. 4 days later you went to bed and never woke up. After you passed we started looking at your records, pictures always sick right after getting shots and we never put it all together. We trusted our pediatrician and she failed us. All about money. Makes me sick. I’ll never stop fighting for you Nicholas. You should be here i miss spending time with you. Hurts so much looking at these. Daddy loves you more than you will ever know Nicholas. Goodnight 💔✈️💙""",https://www.facebook.com/187036874676739/photos/a.1389054904474924/2167109470002793/?type=3,,,Nick Catone,"Two years ago today you weren’t yourself. You were really lethargic all day. I knew you really didn’t feel well because even when you were sick you usually would still be smiling and happy but you were really out of it and tired all day. Madeline just had gotten a new bed and we were sitting on it and I was reading you a book and I was about 30 seconds into it I turned around and you were passed out. You never fell asleep anywhere besides your crib or in your car seat. I remember telling mommy and sending her this picture because you fell asleep so fast on Madi’s bed and it was not like you. Then I went to try to wake you up shortly after telling Mommy and you weren’t moving. I remember my heart dropped trying to shake you and wake you up finally you opened your eyes and looked at me. It scared me. We were going to take you to the doctor in the morning but you woke up happy again and seemed much better the next day. Looking back you had the fevers on and off the rash from the shot right away, the crying at night, you puked one night in your bed and pediatrician would always say the fevers are normal. It’s not normal you were having a reaction to the vaccine. They tell you to take Tylenol but by doing that it actually depletes you glutathione which is needed to flush out all the toxins and garbage. So by giving you Tylenol we were actually making you weaker. 4 days later you went to bed and never woke up. After you passed we started looking at your records, pictures always sick right after getting shots and we never put it all together. We trusted our pediatrician and she failed us. All about money. Makes me sick. I’ll never stop fighting for you Nicholas. You should be here i miss spending time with you. Hurts so much looking at these. Daddy loves you more than you will ever know Nicholas. Goodnight 💔✈️💙",,,,"2,310",19.91
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,21101,21860,2020-09-23 16:05:44 EDT,2020-09-23,16:05:44,Photo,"2,168",39,499,1077,2,256,6,10,279,0,,-,0,0,0,N/A,https://www.facebook.com/1780780855277063/posts/3507659022589229,"*BREAKING NEWS* It has come to our attention that Tractor Supply Co. is requiring their employees to wear contact tracing bracelets. These bracelets will vibrate and light up when an employee has come too close to another employee. It is absolutely unacceptable for a company to treat their employees in this way. If we don't speak up now and show this as socially unacceptable, we can expect more overreaching company policies just like this. The ramifications here are dire! Please step up today to defend sovereignty of personhood. Contact TSC and let them know this is unacceptable. Contact them on FB: https://www.facebook.com/TractorSupplyCo/ Contact them by phone, email, or snail mail: https://www.tractorsupply.com/tsc/customer-solutions#contact Please help us spread the word by interacting with this post and sharing. Thank you 🙏❤",https://www.facebook.com/hfo4you/photos/a.1785729951448820/3507658785922586/?type=3,,,Photos from Health Freedom Ohio's post,,,,,"2,168",15.71
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,124642,127361,2020-08-18 14:12:01 EDT,2020-08-18,14:12:01,Photo,"1,289",681,12,475,116,1,2,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10157771471347989,,https://www.facebook.com/vaccinetruth/photos/a.10150455123022989/10157771471177989/?type=3,,What the government DOESN'T tell you: Socializing boosts immunity Facial expressions are a key component to communication and human connection The heart's electrical biofield reaches out 6 feet Bacteria ARE our immune system Viruses are part of a detoxing mechanism and are NOT the cause of disease,,,,,,"1,289",11.11
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,124577,127300,2020-08-24 22:03:37 EDT,2020-08-24,22:03:37,Photo,"1,021",618,48,237,116,1,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10157786870847989,,https://www.facebook.com/vaccinetruth/photos/a.10150455123022989/10157786870647989/?type=3,,"""Colds"" & ""flu"" aren't diseases, but rather emergency cleansing intensives initiated by the body when toxins & debris in it reach dangerous levels. Therefore, they should not be feared or suppressed with medications, as doing so will only worsen conditions in the body, including sometimes to the point of death! Instead, they should be facilitated by fasting consuming freshly made fruit & vegetable juices, તડ well as getting plenty of rest, pure water, fresh air, & sunshine.",,,,,,"1,021",8.8
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,20364,21127,2020-08-07 10:03:41 EDT,2020-08-07,10:03:41,Photo,"1,001",299,136,478,87,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1780780855277063/posts/3360287850659681,"A reminder to parents: The state of Ohio has 3 types of vaccine exemptions: Medical and Reasons of Conscience, including Religious convictions. Medical exemptions require a signature from a licensed physician in the state of Ohio. Exemptions for reason of conscience, including religious conviction require a signed written statement from the parent or guardian submitted to the school upon enrollment. There is no pre-written statement or form that you are required to submit for public school. The statement provided to you in this post is just one example. https://healthfreedomohio.org/Vaccination",https://www.facebook.com/hfo4you/photos/a.1785729951448820/3360287743993025/?type=3,,"NO SHOTS, NO SCHOOL, NOT TRUE! Ohio has K-12 exemptions PER ORC 3313.671 1) Conscience 2) Religious 3) Medical Learn more by visiting: https:haeheeo.og/vacain",,,,,,"1,001",7.25
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11138,11624,2020-08-09 12:32:16 EDT,2020-08-09,12:32:16,Link,977,326,26,562,57,6,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2574589296204672,"“I couldn’t breathe, very weak, couldn’t get out of bed,” said Mr. Vallone in an interview posted Saturday. “My doctor prescribed it. My pharmacy had it. Took it that day and within two or three days I was able to breathe. Within a week I was back on my feet.”",https://www.washingtontimes.com/news/2020/aug/9/paul-vallone-democrat-nyc-council-member-hydroxych/,,,Democrat NYC councilman: Hydroxychloroquine ‘saved my life’,A Democratic New York City council member has credited hydroxychloroquine with saving his life after he contracted the novel coronavirus in March.,,,,977,4.14
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,10985,11514,2020-08-30 18:50:32 EDT,2020-08-30,18:50:32,Link,892,328,28,509,4,19,1,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2592640797732855,"According to the report, only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had other “health conditions and contributing causes.”",https://fox4kc.com/news/new-cdc-report-shows-94-of-covid-19-deaths-in-us-had-underlying-medical-conditions/,,,New CDC report shows 94% of COVID-19 deaths in US had contributing conditions,"According to the report, only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had contributing conditions.",,,,892,3.78
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,124582,127303,2020-08-22 10:25:56 EDT,2020-08-22,10:25:56,Photo,837,382,7,384,60,1,0,1,0,2,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10157780201307989,The majority of people have been made to fear their body and being in close contact with other people. It is so absurd. The body is so complex and capable of doing more than anyone on Earth could replicate.. Take your power back from the pharma industry and trust your body for what it has been designed to do. Stop allowing them to inject you and your babies.,https://www.facebook.com/vaccinetruth/photos/a.10150455123022989/10157780196632989/?type=3,,"THE MAIN CAUSES OF ILLNESS ACCORDING TO ALLOPATHY: -Bacteria, viruses, genetics, age, chance THE MAIN CAUSES OF ILLNESS ACCORDING TO NATURAL HYGIENE: -A diet of nutrition-less & toxin-filled foods, overeating toxic habits, lack of rest, exercise, fresh air, & sunshine, mental & emotional stress, environmental toxins, EMF, medications & vaccines",,,,,,837,7.22
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,20875,21665,2020-09-03 17:59:30 EDT,2020-09-03,17:59:30,Photo,787,204,34,492,4,14,0,3,36,0,,-,0,0,0,N/A,https://www.facebook.com/1780780855277063/posts/3444597615562037,"➡️ Call to Action ⬅️ With the COVID vaccine release growing closer, so too is the possibility your employer will require it as a condition of employment. But did you know that everyone involved in the development, manufacture, testing, distribution, administration, and use of this product are not responsible for your health outcome? The only one responsible is you, the consumer, thanks to the PREP Act. ""Under the Public Readiness and Emergency Preparedness Act (PREP Act)External of the PHS Act, the HHS Secretary is also authorized to issue a PREP Act declaration that provides immunity from liability (except for willful misconduct) for claims of loss caused, arising out of, relating to, or resulting from administration or use of countermeasures to diseases, threats and conditions determined by the Secretary to constitute a present, or credible risk of a future public health emergency to entities and individuals involved in the development, manufacture, testing, distribution, administration, and use of such countermeasures."" https://www.cdc.gov/flu/pandemic-resources/planning-preparedness/regulations-laws-during-pandemic.html If you value your medical autonomy, stop what you are doing and contact the Chair of the House Commerce and Labor Committee, Gayle Manning, and ask for a hearing on #HB268. HB268, also known as, the ""Medical Consumer Protection Act"" will prohibit an employer from taking an adverse employment action against a person who has not been or will not be vaccinated. Gayle Manning (Chair) Phone (614) 644-5076 Fax (614) 719-3957 Rep55@ohiohouse.gov Link to bill text: https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-268 What else you can do? ➡️ like, comment, and share this post to spread the word. ➡️ talk with your friends and family about this bill and the importance of maintaining the right to choose what products we consume. ➡️ Call your legislator so they may also push for it on behalf of their constituents. Find your legislator: https://www.legislature.ohio.gov/legislators/house-directory If you have a personal story, share it. Every effort matters. Every voice matters. Join us in advocating for YOUR essential health freedoms.",https://www.facebook.com/hfo4you/photos/a.1785729951448820/3444597538895378/?type=3,,Did you know? 90 If you are forcedto receive the COVID vaccine to keep your job and you are injured by the product... You're on your own. You cannot sue. Employees need workplace protections from vaccine product mandates. OHIO NEEDS HB268,,,,,,787,5.7
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,10962,11490,2020-08-12 09:48:58 EDT,2020-08-12,09:48:58,Link,756,16,70,323,0,59,13,12,263,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2577021652628103,"A coronavirus vaccine should be mandatory, and tax penalties, higher insurance premiums, and denial of many government and private services ought to be considered for those refusing the shot, three doctors argued in USA Today on Thursday.",https://www.lifesitenews.com/news/doctors-lay-out-plan-to-punish-people-who-refuse-coronavirus-vaccine-there-is-no-alternative,,,Doctors lay out plan to ‘punish’ people who refuse coronavirus vaccine: ‘There is no alternative’,"Simply put, getting vaccinated is going to be our patriotic duty, and America should consider making it difficult for the unvaccinated to participate in society, three doctors wrote.",,,,756,3.2
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,10989,11518,2020-09-01 15:38:50 EDT,2020-09-01,15:38:50,Photo,735,210,53,342,5,51,2,6,66,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2594249960905272,"The MN summer covid apocalypse that never came… Walz’s prediction-29,000 dead… 1,800 actual Every single hospital bed filled… 3% actual 3,600 ventilators… 200 actual $6M warehouse to store bodies… empty. All this was predicted to happen WITH distancing, school closed, lockdowns and low capacities and it never did. All the governor can talk about is stricter orders and punishing citizens. https://twitter.com/covid_clarity/status/1300499091848273920?s=21",https://www.facebook.com/MNRIGHTS/photos/a.1579487729048172/2594247254238876/?type=3,,"Minnesota Covid Model Tracking Dashboard by @covid_clarity Source ora data: MN Dept Health, Minnesota covid model 8/31/2020 5,000, 000 000 ,000,၀ 000 CV19 Infections and Cases MN Cumulative Infections Reported Cases Forecasted Infections Detected Cases 30,000 CV19 Total Deathsi MN Forecastvs Actual Forecast Actual 25,000 1,000,000 500,000 20,000 15,000 1-May 10,000 Not 5,000 infections re detected, 31-Aug has time lag 20,000 CV19 Daily Hospitalizations.in MN Forecast Actual 1-May 15,000 31-Aug 10,000 2,500 CV19 Daily ICU Needs Forecast Actual Forecast Actual MN 2,000 1,500 1-May 1,000 500 31-Aug 1-May 31-Aug",,,,,,735,2.88
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,20397,21164,2020-08-08 09:01:34 EDT,2020-08-08,09:01:34,Photo,734,270,304,93,64,1,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1780780855277063/posts/3363232113698588,Take the poll 👇 https://www.klkntv.com/poll-would-you-patron-a-business-that-doesnt-require-mask-wearing/,https://www.facebook.com/hfo4you/photos/a.1785729951448820/3363231857031947/?type=3,,"POLL: Would you patronize a business that doesn't require mask wearing? August 7, 2020 11:56 am by Brent BonFleur abc 8 EYEWITNESS NEWS INSTANT FEEDBACK POLL Masks poll",,,,,,734,5.32
