Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 23:48:19 EST,2021-02-01,23:48:19,Photo,3,0,0,2,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060627757756319,,https://www.facebook.com/AnsuCaravans/photos/gm.1195196294229603/3245831328851628/?type=3,,,Ansu Leisure Caravan Sales,"If US is bankrupt Au is registered in US under this administration 
Therefore it’s fact all Au Govenment councils police are now unlawful and illegal",,,,-7.67
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 23:45:42 EST,2021-02-01,23:45:42,Photo,35,25,3,4,1,0,1,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060626897756405,,,,,,,,,,1.52
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 23:41:26 EST,2021-02-01,23:41:26,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060625594423202,,,,,,,,,,-42
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 23:33:11 EST,2021-02-01,23:33:11,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060622561090172,,https://www.facebook.com/groups/TOTDW/permalink/3110497802386350/,,,This is a re-share of a post,I am editor here too,,,,-42
Christians rejecting Covid-19 Vaccine,,299208331360137,none,,,2020-11-12 00:31:40 EST,369,N/A,2021-01-31 23:28:47 EST,2021-02-01,23:28:47,Link,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/299208331360137/permalink/414144299866539,"""Prof. Dror Mevorach, director of the coronavirus department at Hadassah, tweeted on the matter, writing, 'Rare life-threatening multi-system inflammatory syndrome (MIS) following BNT162b2 mRNA covid-19 vaccination in a 23 y old social worker was identified at our Department of Medicine B at Hadassah Medical Center, Jerusalem, Israel and reported to MOH and WHO.'""",http://ch7.io/cbh8o,,,Young man develops 'rare life-threatening syndrome' after Covid-19 vaccine,23 year old sent to Hadassah Hospital found to have developed rare multisystem inflammatory syndrome 24 hours after getting Covid vaccine.,,,,-10
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 23:17:31 EST,2021-02-01,23:17:31,Native Video,1,0,0,1,0,0,0,0,0,0,share,-,0,0,0,00:00:00,https://www.facebook.com/groups/643541389464960/permalink/1060617681090660,,,,,,,,,,-0.94
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,2012,N/A,2021-01-31 22:50:47 EST,2021-02-01,22:50:47,Native Video,2,1,0,1,0,0,0,0,0,0,share,No,0,25,0,00:13:29,https://www.facebook.com/groups/1218342048354149/permalink/1652618624926487,,https://www.facebook.com/marla.sgarbossa/videos/10221491853104235/,,,Marla,,,,,-0.88
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2384,N/A,2021-01-31 22:23:06 EST,2021-02-01,22:23:06,YouTube,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060596304426131,Share share share ! Urgent before it’s gone .,https://youtube.com/watch?v=-suI4CY-l6g&feature=share,,,Leaked Video from Project Veritas and More. You Have to See and Hear This!!!,KLW World News is Moving to Patreon.com/KLWWorldNewshttps://www.paypal.com/paypalme/LeeWheelbargerhttps://www.patreon.com/KLWWorldNewsLee's Amazon Storehttps...,,,,-36
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2351,N/A,2021-01-31 22:12:24 EST,2021-02-01,22:12:24,Native Video,0,0,0,0,0,0,0,0,0,0,share,No,0,1187,0,00:03:03,https://www.facebook.com/groups/643541389464960/permalink/1060593041093124,,https://www.facebook.com/verity.val/videos/229522925450016/,,,Verity,"Posted @withregram • @yahswatchman Looks like they're finally bringing in them Concentration Camps. Looks like all those ""conspiracy theorists"" were on to something this entire time and if you think it's just going to be in New York, you're sadly mistaken.
. 
When you have the time go and look up Assembly Bill 416🙃
.
.
.
#morgellons #verityval2021  #yahswatchmannews #yahswatchman #makeitviral #memes #trending #explorepage #health #viral #hollyweird #health #wakeup #newage #archivesofthewatchmen #facts #christians #psyops #awakening #conspiracy #truth #flatearth #quamyasharala #nwo #israel",,,,-36
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,2012,N/A,2021-01-31 21:53:15 EST,2021-02-01,21:53:15,Photo,1,0,0,0,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1652595878262095,,,,,,,,,,-0.94
Christians rejecting Covid-19 Vaccine,,299208331360137,none,,,2020-11-12 00:31:40 EST,369,N/A,2021-01-31 21:17:04 EST,2021-02-01,21:17:04,Native Video,6,3,1,2,0,0,0,0,0,0,share,No,0,1333,0,00:47:14,https://www.facebook.com/groups/299208331360137/permalink/414101906537445,,https://www.facebook.com/jessica.ogrady3/videos/10164716440650022/,,,Jessie,"Wow.  I felt this one deep and made me emotional. 

A frontline healthcare workers plea to the public. 

“I’ll likely lose my job for this, but human lives mean more to me than a paycheck” 

I’m not religious, but it’s clear to me why there’s such an ongoing witch hunt for the removal of religious freedoms. 

Genuinely good people who feel a commitment to morality are the ones who are likely to speak up first when they believe they will answer to their god at the end of the day. 

They want us to get to a place of complete silence. Complete unquestioning obedience. 

We are witnessing some of the most demoralized times in US history and why so many people are complacent. 

Whether it’s a version of god or yourself in the mirror, will you be able to face them?",,,,-3.17
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,2012,N/A,2021-01-31 20:31:28 EST,2021-02-01,20:31:28,Link,5,3,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1652563564931993,,https://www.bitchute.com/video/k8qlfUcuZ8kq/,,,A Deleted Bill Gates Documentary Has Been Revived,source - BobyRonsson https://www.bitchute.com/video/q95DngNF2jsJ/?fbclid=IwAR2SO_3uZPOP-y8mhnyYBN3Ml447uNAb98GNCruByFZQdBips19EBzemE2o,,,,-0.72
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2349,N/A,2021-01-31 19:17:06 EST,2021-02-01,19:17:06,Native Video,2,2,0,0,0,0,0,0,0,0,share,-,0,42437590,0,00:09:39,https://www.facebook.com/groups/643541389464960/permalink/1060532577765837,,,,,,,,,,-0.89
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2349,N/A,2021-01-31 19:03:16 EST,2021-02-01,19:03:16,YouTube,11,0,2,8,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060527894432972,,https://m.youtube.com/watch?v=4AHN5B4-5e4&feature=youtu.be,,,"Chinese Dr Li Yi:""We’ll soon surpass the US,they will not survive, we’ll drive the U.S to its death""",,,,,-0.39
Vaccine Induced Autoimmune Disease,,1605232133111028,none,,,2020-01-05 23:46:23 EST,1591,N/A,2021-01-31 18:46:30 EST,2021-01-31,18:46:30,Link,1,0,0,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1605232133111028/permalink/2551061568528075,,https://childrenshealthdefense.org/defender/329-deaths-9516-other-injuries-reported-following-covid-vaccine-cdc/?utm_source=salsa&eType=EmailBlastContent&eId=458444e0-b338-4707-afa3-26b6aad0aa13,,,"329 Deaths + 9,516 Other Injuries Reported Following COVID Vaccine, Latest CDC Data Show • Children's Health Defense","The numbers reflect the latest data available as of Jan. 22 from the CDC’s Vaccine Adverse Event Reporting System website. Of the 329 reported deaths, 285 were from the U.S., and 44 were from other countries. The average age of those who died was 76.5.",,,,-0.92
Vaccine Induced Autoimmune Disease,,1605232133111028,none,,,2020-01-05 23:46:23 EST,1591,N/A,2021-01-31 18:44:53 EST,2021-01-31,18:44:53,Link,2,0,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1605232133111028/permalink/2551060951861470,,https://www.facebook.com/100007597984543/posts/2758727441057162/,,,This is a re-share of a post,"Vaccine Deaths website. Truth ""goes against facecrook"" so you will have to take out the spaces or find on my mewe profile page where I can actually post truth.
https://va ccinedeaths .com/",,,,-0.83
Christians rejecting Covid-19 Vaccine,,299208331360137,none,,,2020-11-12 00:31:40 EST,370,N/A,2021-01-31 18:28:03 EST,2021-01-31,18:28:03,YouTube,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/299208331360137/permalink/414047466542889,,https://m.youtube.com/watch?v=r1eMOGoDPXM,,,WATCH & SHARE! THE BEAST IS RISING RIGHT BEFORE OUR EYES & THEY AREN'T HIDING IT....,,,,,-0.8
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 17:55:44 EST,2021-01-31,17:55:44,Status,2,0,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160010329186789,How long does the mmr shed for? Thanks,,,,,,,,,-17.5
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 17:32:15 EST,2021-01-31,17:32:15,Status,5,1,4,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160010975691789,Any of you ladies had a Breast Reduction on the Nhs or private? I may qualify to have it done on the Nhs but I am pretty scared of possible complications... please share with me your stories. I know it will completely change my life to have it done x,,,,,,,,,-7
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2349,N/A,2021-01-31 17:09:34 EST,2021-01-31,17:09:34,Link,8,2,2,3,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/1060492804436481,,https://www.collective-evolution.com/2019/07/31/5g-is-the-ultimate-directed-energy-weapon-system-says-particle-physicist/,,,"5G Is The Ultimate Directed Energy Weapon System, Says Particle Physicist","Dr. Katherine Horton sees the current rollout of the 5G network in a way that is different from mainstream perception. And for good reason. To begin with, she is a particle physicist with a PhD from prestigious Oxford University. She worked as a high energy physicist on the particle collider at the....",,,,-2.62
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2349,N/A,2021-01-31 16:54:24 EST,2021-01-31,16:54:24,Native Video,0,0,0,0,0,0,0,0,0,0,share,-,0,129521,0,00:28:24,https://www.facebook.com/groups/643541389464960/permalink/1060487751103653,,,,,This is a re-share of a post,"She does a great job at explaining the 10 stages of genocides which all seem to be taking place all over the globe🌍 

So I’m just wondering🤔...how much more will it take before we wake up and say NO MORE?🤷🏻‍♀️",,,,-36
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 14:31:58 EST,2021-01-31,14:31:58,Status,29,1,28,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160010409176789,"I have a relative in his early 30s who has been complaining of headaches and dizziness. He's done a number of tests and they all show that he's fine, although he's not well at all. He can barely stand for a period of time. Anyone experienced anything similar? What kind of doctor/test can you recommend? He lives in Romania and has gone to a private clinic from what I understand, has seen several doctors, but nobody can tell what's wrong with him.",,,,,,,,,-1.21
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:58:11 EST,2021-01-31,13:58:11,Photo,68,39,5,13,11,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160010370771789,"Council Of Europe Resolution says NO to COVID MANDATES A resolution is not law but it is highly influential The Parliamentary Assembly of the Council of Europe – the international body of which the European Court of Human Rights is a part (not to be confused with the EU, and of which Britain remains a member) – has passed a resolution that vaccines must not be mandatory and no one should suffer discrimination on account of not having been vaccinated. It reads: 7.3 with respect to ensuring high vaccine uptake: 7.3.1 ensure that citizens are informed that the vaccination is NOT mandatory and that no one is politically, socially, or otherwise pressured to get themselves vaccinated, if they do not wish to do so themselves; 7.3.2 ensure that no one is discriminated against for not having been vaccinated, due to possible health risks or not wanting to be vaccinated; https://pace.coe.int/en/files/29004/html",https://www.facebook.com/photo.php?fbid=211012277403939&set=gm.10160010370771789&type=3,,,,,,,,1.05
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:52:58 EST,2021-01-31,13:52:58,Status,34,1,33,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160010331941789,"Looking for some relief if possible and appreciate advice. My whole body aches, like I'm cold to the bone. All down my left leg is so painful.. Like sciatica. My head is pounding and chest tight. I have taken 3 baths today and it's the only think that provides relief for around an hours after. I breast feed my 8 month old so I am worn out as still frequently feeding in night with little time in day to take care of my body. I have homeopathy and use a homeopath but need to book with her and I have posted in a homeopathy group but had no response. I have resorted to anti inflammatory tablets which I hate but omg I cannot shake it off. Any advice would be totally appreciated.",,,,,,,,,-1.03
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:36:49 EST,2021-01-31,13:36:49,Link,5,3,1,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10159998823686789,"Please share if resonates 🙏 A feminist anti lockdown take. https://makemorenoisemanc.wixsite.com/mysite/post/germ-theory-extremism-in-a-post-covid-world-some-feminist-holistic-health-perspectives ‘I use the term ‘Germ Theory Extremism’ to describe this attitude to life and health. For those unfamiliar with Germ Theory, simply put, it is that certain diseases are caused by specific germs or infectious agents. Its counterpart is terrain theory which posits that it is the internal environment of an individual which determines their state of health, and that pathogens can be handled by a terrain which is healthy, without causing illness. In Germ Theory’s fundamentalist form, it equates to science and immunology denialism, because the only way we can keep from becoming sick is to attempt to avoid any exposure whatsoever to germs (or viruses.) Not only is this a false premise, a strong adherence to Germ Theory Extremism cripples the devotees ability to live a full, meaningful and connected life. And because it is becoming invisibilised due to its nouveau hegemony, I think it needs to be named and recognised as an ideology, and one which is superstitious in character, rather than founded in rational empiricism. In fact, as other lockdown critics have pointed out, it has become a kind of doomsday cult or new state religion. It serves the political function of naturalising statism, or even tyranny. Civil liberties must be sacrificed for the greater good. Free movement, free assembly, independent thought and speech, indeed any actions at all performed without deference to the tenets of Germ Theory Extremism, are the very means by which germs, or viruses, are spread. Oppressing people into compliance is necessary for the safety of all. Is there another historical example of (what effectively amounts to) a totalitarian coup, in which the dangerous dismantling of citizen rights and freedoms was so successfully sold as being about safety and health? Perhaps that’s part of why this one has so far met with so little resistance. 2nd wave feminist philosopher Mary Daly wrote about the concept of ‘patriarchal reversals,’ that is culturally accepted beliefs, which invert the natural order, beginning with the idea that the male, rather than female, is the original and default sex. I would place the gaslighting inversion of the criminalisation of normal modes of human behaviour as ‘staying safe,’ in this category of patriarchal reversals. Daly also developed the concept of ‘biophilia’ as: ‘the Original Lust for Life that is at the core of all Elemental E-mo- tion; Pure Lust which is the Nemesis of patrarichy, the Necrophilic State."" I think Germ Theory Extremism is the polar opposite to biophilia: it is biophobic. We can see its necrophiliac effects suffocating expressions of life in the empty streets & shuttered community centres of ‘lockdown/ house arrest 3.0’. Whilst so many are obsessively preoccupied with dodging the grim reaper, the world we live in is starting to feel like a giant morgue.’",https://makemorenoisemanc.wixsite.com/mysite/post/germ-theory-extremism-in-a-post-covid-world-some-feminist-holistic-health-perspectives,,,Germ Theory Extremism In a Post Covid World: Some Feminist & Holistic Health Perspectives,Below follows a guest post by Emily Garcia. She is a radical feminist and activist. One of the major reasons I was a lockdown sceptic from the very start is because the idea we are simply passive victims or sitting ducks to environmental pathogens does not tally with my experiences using alternative...,,,,-14.6
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:34:35 EST,2021-01-31,13:34:35,Status,24,6,17,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160004613336789,"Why are care homes for example insistent that the staff get vaccinated, if the vaccine does not stop you from catching and spreading the virus then how does that protect the residents?. I was watching the news and it showed a care home boss not happy that half of his staff have refused the vaccine, he said although he can't force them he was not happy and will make it a condition of employment for any new staff.",,,,,,,,,-1.46
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:34:23 EST,2021-01-31,13:34:23,Live Video Complete,0,0,0,0,0,0,0,0,0,0,share,No,0,7357,0,00:43:17,https://www.facebook.com/groups/98258276788/permalink/10160007262236789,,https://www.facebook.com/jamesLweiler/videos/911864116307726/,,,"James Lyons-Weiler, PhD","Pathogenic Priming, Disease Enhancement - Real or Coincindence?

Dr. Jack and Dr. Stephanie Christner discuss the vaccine adverse events being reported from COVID19 vaccines",,,,-124
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:32:41 EST,2021-01-31,13:32:41,Status,7,1,2,0,1,0,0,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/98258276788/permalink/10160005620361789,,,,,,,,,,-5
"Arnica - Parents' Support Network, Promoting Natural Immunity",,98258276788,none,,,2017-10-25 05:23:53 EDT,41184,N/A,2021-01-31 13:31:29 EST,2021-01-31,13:31:29,Native Video,1,1,0,0,0,0,0,0,0,0,share,No,0,535416,0,00:30:11,https://www.facebook.com/groups/98258276788/permalink/10159995767766789,,https://www.facebook.com/TheNewAmerican/videos/1035267880287818/,,,The New American Magazine,"In this explosive interview with Senior Editor Alex Newman of The New American magazine, former president of the Association of American Physicians and Surgeons (AAPS) Dr. Lee Merrit explains her belief that America is currently facing what appears to be biological warfare. Whether the Communist Chinese released the COVID19 virus on purpose or by accident is impossible to know, but the implications are enormous. When it comes to the new vaccines, Dr. Merrit, a former military doctor who studied biological warfare, goes through previous animal studies on the technology and paints a dire picture. However, even though modern medical schools do not often teach it, there are ways to treat viral infections that are time-tested and effective, she concludes.  

⚠️ Help us bypass big tech censorship by posting this video everywhere!
Download here:
https://drive.google.com/file/d/169bDubnhyopohQmg8-WRmvEjYjpSwEPs/view?usp=sharing",,,,-62
