Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 23:33:02 EDT,2020-10-01,23:33:02,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972649616554134,,https://www.facebook.com/photo.php?fbid=120221056499945&set=p.120221056499945&type=3,,,Angie,"Ok. Obviously my previous post has been moderated by some silly jealous insecure female from fb eh crystal clear.winkity wink wink wink. I  repeating :
ATT all beta,.gamma omega and zeta males.
I am an extremely ARROGANT alpha wolf woman..I don't take shit from women or men who are insecure in themselves. If U have a problem with the way I look then for God's sake get some plastic surgery and do something about it. Or hide your boyfriend. U have to be extremely secure in yourself if U wish a friendship with me 

Or an enemyship with me.

.I do not wish your husband or boyfriend or even girlfriend to fall for me,.I cannot help having looks,.grace,.charm, pole dancing.skills, and singing . I also have supreme fighting skills. So I am seriously not to be messed with.

Ok. Pleasantries out the way.

I have someone that I happen to be very much in love with. He is a genius and clearly passes my tests. I require his presence and HIS presence only. Soz Boyz.

There r some serious felonious monotonous boring ass wankers in govt and on fb trying to troll and mess with me. 

So. This be a serious WARNING. I grew up Doveton. TRISTANIA STREET. No 2.

I am more than ok. 

Have U got that?

I have autism. I have Tourette's syndrome when I don't get my way. I also have Tourette's syndrome palindrome when I DO happen to get my way.

Which is - and get ready for this :

ALL THE  TIME. 

Are we CRYSTAL clear honey?

I have blocked certain individuals and groups from my account. Before I have even spoken to them. For reasons of my own. That being...

I. Goddamn PSYCHIC. So I know what U r up to.

I have also commented on certain posts.

I am cryptic. I am Coptic. I am Buddhist I am Hindu. I am Christian. I be believing in saints but not Catholics because I am not a goddamn pedo. I also happen to practice black magick. This be my spirituality. If U have a problem with dis, 

dat be too bad.  

For YOU.

I am forming a political party of my own. I wish to unite blacks and browns, yellows and reds and purples across the globe. And empathetic whites.

The Sex party wouldn't have me
 Because I am clearly oo sexy for them.

One nation wouldn't have me because they are not big enough assholes for my liking. And I. Not racist enough

The Greens are incompetent fools that are not looking after my grasslands in the northern suburbs of Melbourne. Which is another policy of mine.

I am an extreme ENVIRONMENTALIST.  Ok Adam?

The government's are buying farmers land for cheap and ripping them off and overdeveloping the land. City of Facey/ Casey is a prime real estate example. City of Whittlesea be another. And the poisonous fungal infection of Candida which is urban goddamn sprawl just keeps growing.

I feel much anguish from my Aborigine brothers and sisters in this beautiful continent. Not to mention my aunties. And uncles. (I love U uncle.clary)

So although I am an asshole and a complete psychopath with Tourette's and a genius IQ, I also have a heart.

I heart U brother Bunjil. Because I feel U.

Africa is another amazingly incredible continent on the other side of the globe. Also with incredible unique wildlife. So I heart U also OLDUMARE.

My theory is that we have a case of CONVERGENT EVOLUTION in these two different, yet similar continents. I call it Convalulsion!

Does anyone wish to debate/address this shit with me? 

Australia however has no species of feline.

That's where I come in.

I am the BLACK CAT. 

CATS are not native to Australia. So if U have a pussycat, which I love because I also support the Cat Protection Society, please keep her inside during curfew hours. Which I will be implementing when I get into GOVERNMENT. Otherwise yes we should euthanase feral cats . Unless U can tame them and take them to the shelter of your home. (N B U cannot tame leopards. So don't even try and tame ME)

All feral species ( with the exception of myself) need culling. And yes that includes Brumbies. I know they are pretty. And yes it's sad. So tame them and keep them in your goddamn paddocks. Because they have hooves which cause compaction of the soil in the highlands. 

Now we have still a rabbit problem. Why are we not shooting rabbits and eating them instead of breeding rabbits? Robbing Peter to pay Paul? (I will get to U later Paul)

We have an overpopulation of kangaroos in the Wollert region. Shooters U are welcome to discuss your rights with me. Because I feel we can feed the starving Aboriginal population in Fitzroy street with some bush tomato chutney and Warrigal greens. With a twist of lime. Thankyou.

I hear Coles and Woolies are breeding and farming kangaroos.

Which again is robbing Peter to pay Paul. (And yes Peter. I am getting to U too.)

On the Prinnee Hwy between Moe and Morwell in lot yang or Hazelwood or whatever that big disgusting hole in da ground is, there is a precinct plan to fill up this monstrous crator with water and create another lake Eildon. For bogans who cannot afford prime real estate (truncated)",,,,-46
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 23:31:37 EDT,2020-10-01,23:31:37,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972648926554203,Be watching this people.,https://www.abc.net.au/lateline/the-hidden-story-of-sexual-abuse/8081294,,,The hidden story of sexual abuse,Jane Rosengrave has an intellectual disability and takes Lateline back to the institution in regional Victoria where she claims she was sexually abused by multiple perpetrators.,,,,-42
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1962,N/A,2020-09-30 22:16:44 EDT,2020-10-01,22:16:44,Link,0,0,0,0,0,0,0,0,0,0,,No,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1550205551834462,,https://www.facebook.com/groups/495789740973545/permalink/737366560149194/,,,This is a re-share of a post,,,,,-58
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1958,N/A,2020-09-30 22:05:37 EDT,2020-10-01,22:05:37,Native Video,1,1,0,0,0,0,0,0,0,0,share,No,0,496449,0,00:04:32,https://www.facebook.com/groups/1218342048354149/permalink/1550199771835040,,https://www.facebook.com/vaxxed2/videos/2790600797895836/,,,We Are Vaxxed,Microsoft patent W02020060606,,,,-19
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1958,N/A,2020-09-30 22:01:56 EDT,2020-10-01,22:01:56,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1550197808501903,"HPV Vaccine Discussion with Our friends Dr. Jack of IPAK, Mary Holland of CHD, Kim Mack Rosenberg of ""HPV Vaccine on Trial""",,,,,,,,,-54
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 21:29:31 EDT,2020-10-01,21:29:31,YouTube,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972589599893469,,https://www.youtube.com/watch?v=x_QrjGc-UO0&feature=share,,,Omnibus laws to 'create a certain class of citizens empowered with extra rights',"The Institute of Public Affairs’ Daniel Wild has spoken about the way the ""laws could be used"" as discussion over the controversial Omnibus bill continues. T...",,,,-38
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 21:20:14 EDT,2020-10-01,21:20:14,Native Video,0,0,0,0,0,0,0,0,0,0,share,No,0,2840447,0,00:49:26,https://www.facebook.com/groups/643541389464960/permalink/972585666560529,,https://www.facebook.com/DonaldTrump/videos/710492296546702/,,,Donald J. Trump,"LIVE: President Donald Trump in Duluth, MN #Minnesota

Text VOTE to 88022",,,,-38
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 20:56:56 EDT,2020-10-01,20:56:56,Link,5,1,1,1,0,0,0,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972573756561720,Does the head of the Department of Foreign Affairs and Trade still have his or her very highly paid job??? Perhaps Peter Dutton should resign??? It appears that Australia is being run by total incompetents and possible blatant liars!!! Take for instance the Melbourne hotel quarantine fiasco??? How could so many people collectively lose their memories???,https://www.abc.net.au/news/2020-10-01/dfat-email-fail-addresses-australians-overseas-coronavirus/12719804,,,'Vulnerable and desperate' Australians stung by DFAT email bungle,"The Department of Foreign Affairs and Trade scrambles to recall an email including the addresses of at least 1,000 Australians stranded overseas during the pandemic, admits the fault and asks recipients to delete it.",,,,-4.2
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1958,N/A,2020-09-30 20:48:19 EDT,2020-10-01,20:48:19,Photo,8,1,2,1,0,1,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1550149861840031,"Does anyone still think this is based on science? So the virus is confined to the part of the mask that doesnt have a hole in it ,, Right???",https://www.facebook.com/ComedianDarrenKnight/photos/a.814595595328871/3300381956750210/?type=3,,This has to be the stupidest time in human history art HD žive,Darren Knight,,,,,-3.5
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1958,N/A,2020-09-30 20:43:32 EDT,2020-10-01,20:43:32,Native Video,3,3,0,0,0,0,0,0,0,0,share,No,0,305677,0,00:09:01,https://www.facebook.com/groups/1218342048354149/permalink/1550144078507276,,https://www.facebook.com/jaclyn.dunne.39/videos/10158570311422350/,,,Jaclyn,"A final plea..... join the great awakening. 

#silenceiscompliance",,,,-6.33
New Yorkers for Medical Freedom and Parental Rights,,1218342048354149,none,,,2020-01-05 23:47:04 EST,1958,N/A,2020-09-30 20:40:22 EDT,2020-10-01,20:40:22,Link,9,5,1,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1218342048354149/permalink/1550139455174405,,https://www.brusselstimes.com/news/belgium-all-news/health/130480/face-mask-obligation-in-school-major-threat-to-childrens-development-doctors-say/?fbclid=IwAR2KEP2EapCljKRRxOVIdi4mlORZFgLTGdyuSLGW1xyvLaLXc9Ha7e6hlzk,,,"Mandatory masks in school are a 'major threat' to children's development, doctors warn","The face mask requirement at school is bad for children's general well-being and should be abolished, 70 doctors wrote in an open letter to Flemish Education Minister Ben Weyts. The doctors want",,,,-3.22
❤️ The rEvolution! ✊,,655947885024802,none,,,2021-03-09 12:01:50 EST,N/A,N/A,2020-09-30 20:39:11 EDT,2020-10-01,20:39:11,Status,3,1,0,0,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/655947885024802/permalink/680641109222146,✊🏿✊🏻✊🏾✊✊🏿✊🏼✊🏻✊🏻✊🏽✊🏾✊🏻✊🏿✊🏿✊✊🏻✊🏻✊🏼✊🏻✊🏾,,,,,,,,,-0
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 20:31:41 EDT,2020-10-01,20:31:41,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972562533229509,,https://www.facebook.com/photo.php?fbid=661093084807923&set=gm.972562533229509&type=3,,,,,,,,-46
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 20:31:09 EDT,2020-10-01,20:31:09,Photo,28,9,4,4,3,0,8,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972562273229535,,https://www.facebook.com/photo.php?fbid=661092838141281&set=gm.972562273229535&type=3,,,,,,,,1.22
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,2234,N/A,2020-09-30 20:30:38 EDT,2020-10-01,20:30:38,Photo,2,0,0,0,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/972562026562893,,https://www.facebook.com/photo.php?fbid=661092478141317&set=gm.972562026562893&type=3,,,,,,,,-11.5
