Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 23:38:27 EDT,2020-09-01,23:38:27,Photo,21,10,0,7,0,0,4,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948611828957913,,https://www.facebook.com/photo.php?fbid=661630581432659&set=p.661630581432659&type=3,,"Jason Christoff ""The quicker I give all my rights away, the quicker I will get them all back.......said back..... the person who never read one history book in their entire life."" www.jchristoff.com",Trish-Anne,,,,,-1.1
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 23:24:05 EDT,2020-09-01,23:24:05,Link,3,2,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948604655625297,THIS WILL CREATE A STIR,,,,This is a re-share of a post,,,,,-7
Anti Mask Anti vaccine Pro Freedom,,325450458467336,none,,,2020-08-31 10:29:10 EDT,198,N/A,2020-08-31 23:21:01 EDT,2020-09-01,23:21:01,Native Video,5,3,1,1,0,0,0,0,0,0,share,No,0,3022,0,00:05:10,https://www.facebook.com/groups/325450458467336/permalink/357008305311551,,https://www.facebook.com/Revelacaoculta/videos/994387854368738/,,,RevelaçãØculta,Veja!!,,,,-0.58
❤️ The rEvolution! ✊,,655947885024802,none,,,2021-03-09 12:01:50 EST,N/A,N/A,2020-08-31 23:12:46 EDT,2020-09-01,23:12:46,Photo,8,7,0,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/655947885024802/permalink/656998301586427,,https://www.facebook.com/photo.php?fbid=10222443050847855&set=p.10222443050847855&type=3,,"TRYING TO FIGURE OUT HOW AN UNVACCINATED PERSON CAN GIVE A DISEASE TOA VACCINATED PERSON IF VACCINES WORK,",Michael,,,,,0.42
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 23:04:15 EDT,2020-09-01,23:04:15,Link,28,15,6,5,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948595035626259,,https://www.facebook.com/100015501616497/posts/877120582814654/,,,This is a re-share of a post,"ANDREWS #1 WEAPON IS THE MEDIA❗
IT NEEDS TO BE EXPOSED AND DISABLED❗❗",,,,1.33
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:54:07 EDT,2020-09-01,22:54:07,YouTube,12,11,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948589155626847,,https://www.youtube.com/watch?v=sqPPnFd8-kc&feature=share,,,Pauline Hanson labels Annastacia Palaszczuk a ‘dictator’ over border closures,Pauline Hanson has declared Annastacia Palaszczuk is running a “dictatorship” that Australians should no longer tolerate. “She’s absolutely over the top and ...,,,,-1.58
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:51:54 EDT,2020-09-01,22:51:54,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948588138960282,,,,,,,,,,-46
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:47:26 EDT,2020-09-01,22:47:26,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948586202293809,,https://www.thenewamerican.com/world-news/africa/item/36432-gates-funded-program-to-begin-tests-on-biometric-id-vaccination-records-in-africa#,,,This is a re-share of a post,"THIS IS WHAT IS COMING TO THE WORLD,,IF YOU DON'T WANT IT HERE,NOW IS  THE TIME TO DO SOMETHING ABOUT STOPPING IT ,,GET RID OF TE CORRUPT GOVERNMENTS,,THE UNELECTED PEOPLE THAT WE ARE FORCED  TO TRUST,,VOTE IN SOME HONESTY FOR A CHANGE,,VOTE ONE NATION",,,,-42
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:45:54 EDT,2020-09-01,22:45:54,YouTube,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948585318960564,,https://www.youtube.com/watch?v=_JuxFdvfKPE&feature=share,,,Reginald,"THIS GUY NEEDS LISTENING TO,,PLS SHARE",,,,-38
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:32:59 EDT,2020-09-01,22:32:59,Status,3,2,0,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/643541389464960/permalink/948578715627891,,,,,,,,,,-7
wake up Australia,,643541389464960,none,,,2020-08-10 19:58:47 EDT,1858,N/A,2020-08-31 22:32:42 EDT,2020-09-01,22:32:42,Native Video,0,0,0,0,0,0,0,0,0,0,share,-,0,29846,0,00:06:27,https://www.facebook.com/groups/643541389464960/permalink/948578568961239,,,,,,,,,,-38
