Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910039,1953035,2020-08-31 23:00:24 EDT,2020-09-01,23:00:24,Link,97,40,14,32,1,10,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3404562912919777,Have you ever seen a photo of this food before?,http://ed.gr/clz7g,https://draxe.com/nutrition/cucamelon/?utm_campaign=HHL,,What in the World Is a Cucamelon?,"This tiny watermelon may be gaining recognition because of Instagram posts, but cucamelon offers much more than cute photographs. Learn more here.",,,,-1.72
Holistic Hilda,HolisticHilda,985921748210269,PODCAST,,Do you want to improve your health w/o fancy shakes or flashy programs? Holistic Hilda is an expert on ancestral health practices & she can show you how to nurture wellbeing the natural way.,2020-05-01 19:32:09 EDT,1400,1539,2020-08-31 21:57:43 EDT,2020-09-01,21:57:43,Photo,13,4,5,1,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/HolisticHilda/posts/1964768970325537,"S U N R I S E C H A L L E N G E ☀️ There are many hacks that can improve our physical, emotional, & mental health. Waking up early enough to see the sunrise, to me at least, is the low-hanging fruit of hacks. ☺️ Here’s why. You don’t need to change the diet, start a fitness regimen or deprive yourself of anything. You’re just adding something new & good. Catching sunrise light: ☀️ increases energy ☀️ syncs circadian rhythm ☀️ improves sleep ☀️ revs metabolism ☀️ boosts mood Tomorrow is Sept. 1. Will you take the two-week challenge of waking up in time to get 15 min of sunrise light (w/in 30-45 min of sunrise)? If so, gimme a ☀️ emoji below & tag me @holistichilda in some of your sunrise pics for accountability. When the two weeks are up, we’ll check in again. Every person who completes the challenge will be entered to win a swag bag of some of my favorite products (blueblockers, etc.) 🥰 Oh, & I know this may mean going to bed a smidge earlier 😁but that becomes easier the earlier you rise b/c you’ll just get tired earlier (obvi). ☺️ It’s cool if you start this on Sept. 2, btw. Are you in?!? 🙂 PS Don’t think I haven’t noticed that the world seems to be going mad. I believe developing this practice of at least 15 min in the sunrise light will help each of us become more grounded in reality, beauty, joy, & truth. 🧡 So take the time to pray, meditate, move, sing during those 15 min to take it all to the next level. 🙌🏼 ☀️☀️☀️ Levantarse con el sol es una costumbre que puede transformar la salud. La luz del amanecer: ☀️ da energía ☀️ profundiza el sueño ☀️ quema grasa ☀️ levanta el ánimo Quién se apunta para el reto de 2 semanas de levantarse dentro de 30-45 minutos del amanecer y pasar 15 minutos en el sol?Ponme un ☀️en los comentarios y usen @holistichilda cuando toman fotos del cielo y sol muy de mañana. 📷 Cada uno que complete el reto tendrá la oportunidad de ganar un premio (de mis productos favoritos) al terminar las dos semanas. 🎁 Créeme que aunque el mundo se haya vuelto loco este “hack” nos ayudará a mantener una perspectiva positiva y sana. Por eso mismo lo recomiendo. 🧡",https://www.facebook.com/HolisticHilda/photos/a.996168577185586/1964768936992207/?type=3,,,,,,,,-2.69
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,44831,46817,2020-08-31 21:00:36 EDT,2020-09-01,21:00:36,Photo,17,10,4,0,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2037485109720396,Take advantage of this awesome deal before it ends TONIGHT! :) Head to the site now!,https://www.facebook.com/earthley/photos/a.749202208548699/2037485109720396/?type=3,,Only 3 hours left! ® 0트 Earthley wellness Earthley -wellness- NOURISH HIM NATURALLY Earthe we Iness NOURISH ME NATURALLY NOURISH NATURAL Earthley wellness,Timeline Photos,,,,,-40.12
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,44711,46687,2020-08-31 20:01:04 EDT,2020-09-01,20:01:04,Photo,"2,750",1752,439,142,405,0,10,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2037437609725146,"A lot of people like to say ""I don't 'mess around' with..."" (fill in: ear infections, sinus infections, etc.) They believe that antibiotics are the only way to help.⁠ ⁠ But hang on. First, the body can heal itself in most cases, especially with simple, common things. Second, herbs are not 'messing around' and can and do support the body through its process.⁠ ⁠ There are actually a lot of other options! Learn about them and keep your natural remedies cabinet ready!",https://www.facebook.com/earthley/photos/a.749202208548699/2037437609725146/?type=3,,"""If an illness is caused by a bacteria, you HAVE to use antibiotics!"" FALSE Earthley -wellness-",Timeline Photos,,,,,4.03
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910053,1953021,2020-08-31 20:00:09 EDT,2020-09-01,20:00:09,Link,423,202,21,150,23,26,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3392702680772467,Think cheesecake + carrot cake combined. AKA Heaven,https://www.healthy-holistic-living.com/surprise-carrot-cake/?utm_source=HHL,,,Surprise Carrot Cake,"When you cut into the middle of this cake, you’ll find a surprise cream cheese center.",,,,2.53
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-08-31 18:20:52 EDT,2020-08-31,18:20:52,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/AutismTreatmentCenter/posts/10157540330368372,,https://www.theguardian.com/society/2020/aug/30/covid-vaccine-rush-could-make-pandemic-worse-say-scientists,,,"Covid vaccine rush could make pandemic worse, say scientists",Experts caution strong evidence of efficacy needed to avoid approval of inferior vaccines,,,,-2
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,57563,59889,2020-08-31 18:05:39 EDT,2020-08-31,18:05:39,Link,"1,566",689,311,105,55,32,213,16,141,4,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2037358353066405,"Here goes the mainstream AGAIN trying to shine a negative light on people who choose not to wear a mask -- starting by labeling them ""anti-maskers."" They are attacking medical freedom advocates such as Dr. Rashid Buttar, osteopathic physician; and Del Bigtree, by suggesting that they are using the 'anti-mask message' as an opportunity to grow their movement (which, of course, is to damage and sway people, not to share truth...). They believe that both movements are fueled by politics, anti-science rhetoric, and a uniquely American ""don't tell me what to do"" attitude. (Even though there are many people in other countries who feel the same way -- Europe saw HUGE protests last weekend!). This is the typical, angry nonsense they deploy when they don't get their way. They think everyone has to agree with them and go along without question, and when smart people start using their brains, they throw tantrums and call names. It's pathetic, honestly. Free thinking is apparently not allowed. We should all just be good little citizens, doing as we're told, no matter how much that changes or what it is. It's dangerous...and we won't put up with it anymore! https://www.businessinsider.com/anti-maskers-are-new-anti-vaxxers-threatening-public-health-coronavirus-2020-7",https://www.businessinsider.com/anti-maskers-are-new-anti-vaxxers-threatening-public-health-coronavirus-2020-7,,,Anti-maskers are the new anti-vaxxers,"The same anti-science, don't-tell-me-what-to-do attitude that fuels the anti-vaccine movement has attracted anti-maskers.",,,,3.17
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910053,1953021,2020-08-31 18:00:37 EDT,2020-08-31,18:00:37,Link,155,96,9,46,2,1,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3392701617439240,I'm getting some at the store today!,https://www.healthy-holistic-living.com/take-apple-cider-vinegar-night/?utm_source=HHL,,,3 Reasons You Need to Drink Apple Cider Vinegar Every Night Before Bed,"The acidity in apple cider vinegar is useful as a mouthwash and even to clean your toothbrush (and dentures11) because of its antibacterial properties (soaked in a solution of one-half cup of water, 2 tablespoons of ACV and 2 teaspoons of baking soda).",,,,-1.08
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,121800,133772,2020-08-31 17:57:47 EDT,2020-08-31,17:57:47,Link,286,111,23,75,0,27,0,7,43,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2725986907648713,"Another good article from LifeSite News. From the piece: On the one hand, the risk of a vaccine that has been tested only on few people is not clear. On the other, the risk of dying from the coronavirus is low for people without an underlying condition. The CDC reported that 94 percent of deaths related to COVID-19 had, on average, ""2.6 additional conditions or causes per death.""",https://www.lifesitenews.com/news/top-us-drug-authority-floats-skipping-standard-testing-milestone-for-covid-vaccines,,,Top US drug authority floats skipping standard testing milestone for COVID vaccines,"“It is up to the [vaccine developer] to apply for authorization or approval, said the head of the U.S. Food and Drug Administration, and we make an adjudication of their application. If they do that before the end of Phase Three, we may find that appropriate.",,,,-1.02
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910053,1953021,2020-08-31 17:00:42 EDT,2020-08-31,17:00:42,Photo,954,405,62,193,40,1,252,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3359290917446977,,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2863492563693484/?type=3,,MY WELL ELL-BEHAVED FIRSTBORN GAVE ME THE CONFIDENCE TO BE A GOOD MOM. MY WILD-CHILD SECOND KID TAUGHT ME NOT TO JUDGE OTHER MOTHERS healthy lwing holistic,Healthy Holistic Living,,,,,-1.56
