Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909727,1951929,2020-07-31 23:00:43 EDT,2020-08-01,23:00:43,Link,124,55,5,53,10,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3312304512145618,"If you want to consume some of the most common foods mentioned for their health properties in the Bible, then you’ll want to try these top 10 healing Bible foods.",http://ed.gr/cpi25,https://draxe.com/nutrition/top-10-bible-foods-that-heal/?utm_campaign=HHL,,Top 10 Bible Foods that Heal - Dr. Axe,"Here are the top 10 Bible foods with healing properties, plus I compare clean foods vs unclean foods and discuss the Biblical diet.",,,,-1.35
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909719,1951898,2020-07-31 20:00:18 EDT,2020-08-01,20:00:18,Link,383,31,147,32,2,21,5,19,126,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3305982709444465,"Depending on success, the company will roll out this checkout system to other stores across the country. What do you think of this idea?",https://www.healthy-holistic-living.com/arkansas-walmart-switches-to-self-checkout-only/?utm_source=HHL,,,Arkansas Walmart switches to self-checkout only,"In 20202, shopping has become quite a production, even for the most basic grocery run. Will Walmart's new self check only model be a welcome change?",,,,2.29
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,57563,59889,2020-07-31 20:00:09 EDT,2020-08-01,20:00:09,Link,"1,763",399,374,183,19,90,635,9,53,1,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2004398449695729,"And the ridiculousness continues... Fauci is now saying goggles or an eye shield could become a standard recommendation to ensure more complete protection against the coronavirus. Really? We need to be SO scared of life and disease that we need to worry about catching it...through our eyes? How common is this, especially in low-contact settings? What data are they using to come to these conclusions? And rather than feeling like you practically have to wear a Hazmat suit to leave your home (or begging for a vaccine that doesn't exist), shouldn't people be learning how to take care of their immune systems? This is really just going too far now. https://news.yahoo.com/fauci-recommends-wearing-goggles-eye-122156202.html",https://news.yahoo.com/fauci-recommends-wearing-goggles-eye-122156202.html,,,Fauci Recommends Wearing Goggles or Eye Shields to Protect against Coronavirus,"Dr. Anthony Fauci, the nation’s top infectious disease expert, suggested Wednesday that Americans consider wearing goggles or an eye shield in addition to face masks to ensure more complete protection against the coronavirus. ""If you have goggles or an eye shield, you should use it,"" he ...",,,,3.57
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-07-31 19:47:49 EDT,2020-07-31,19:47:49,Native Video,0,0,0,0,0,0,0,0,0,0,share,No,0,1151027,0,00:03:02,https://www.facebook.com/AutismTreatmentCenter/posts/10157467068308372,,https://www.facebook.com/realCharlieKirk/videos/581697292518780/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252FrealCharlieKirk%252Fvideos%252F581697292518780%252F,,Charlie Kirk,"It's insane that Bill Gates—a software developer, is given a platform to discuss a vaccine but ACTUAL doctors are censored & silenced for talking about treating ACTUAL COVID patients.",,,,-6
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-07-31 19:39:05 EDT,2020-07-31,19:39:05,Native Video,0,0,0,0,0,0,0,0,0,0,share,No,1,300095,0,00:04:23,https://www.facebook.com/AutismTreatmentCenter/posts/10157467052738372,,https://www.facebook.com/DrDavidSamadi/videos/412641563027330/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FDrDavidSamadi%2Fvideos%2F412641563027330%2F,,Dr David B Samadi,Censorship by major social media companies in America.,,,,-6
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909719,1951898,2020-07-31 18:00:55 EDT,2020-07-31,18:00:55,Link,44,18,4,20,1,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3305980699444666,"Ants make for terrible houseguests: They come uninvited, get into everything, and are in no hurry to leave. Even in the best of times, they’re unwelcome. But if you, like many people, have been spending far more time at home because of social distancing, the little critters could very well drive you insane.",https://www.healthy-holistic-living.com/how-to-get-rid-of-ants/?utm_source=HHL,,,How to Get Rid of Ants,"No matter where you live, it seems like every summer we all have the same problem: ants. Here, we’ll discuss how to get rid of these pesky critters for good.",,,,-3.8
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909719,1951898,2020-07-31 17:00:00 EDT,2020-07-31,17:00:00,Photo,"2,489",1091,21,1063,297,1,0,0,0,16,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3232352450140825,,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/3232351420140928/?type=3,,"Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth, and your Heart for Love. healthy living holistic",,,,,,1.67
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,38401,39991,2020-07-31 16:37:01 EDT,2020-07-31,16:37:01,Photo,"1,425",348,163,169,3,366,1,37,338,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2003292456472995,"Many people claim that the natural lifestyle isn't being censored -- that it's just our imagination. But look what happened when one of our staff members attempted to share a link to a holistic health insurance company via PM.... It's very clear we ARE being censored, and that a whole lot of people think we shouldn't have access to anything natural. And why not? How does it affect them if we prefer supplements, healthy diets, or chiropractic to prescription drugs? This is out of control.",https://www.facebook.com/earthley/photos/a.749202208548699/2003291186473122/?type=3,,,,,,,,2.09
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909719,1951898,2020-07-31 16:00:36 EDT,2020-07-31,16:00:36,Link,54,32,6,16,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3305975296111873,"Apple cider vinegar can lower blood sugar levels, decrease insulin levels, improve your metabolism, reduce overall fat storage, and suppress your appetite...",https://www.healthy-holistic-living.com/science-explains-how-to-use-apple-cider-vinegar-for-weight-loss/?utm_source=HHL,,,Science Explains How to Use Apple Cider Vinegar For Weight Loss,"I’m not sure if you’ve heard yet about apple cider vinegar having all sorts of health benefits, but one of its miraculous powers is said to be weight loss thanks to the acetic acid it contains.",,,,-3.09
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,116838,128014,2020-07-31 15:49:35 EDT,2020-07-31,15:49:35,Link,499,284,24,130,58,3,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2698723607041710,"Here's the latest in the excellent LOCKDOWN LUNACY series by J.B. Handley. From the article: ""Perhaps the most destructive element of lockdown is the panic and fear that such severe measures help confirm, in this case, wrongly so, in the minds of the young and impressionable. As the paper concludes, “Experience has shown that communities faced with epidemics or other adverse events respond best and with the least anxiety when the normal social functioning of the community is least disrupted.” In other words, we need to flatten the fear.""",https://childrenshealthdefense.org/news/lockdown-lunacy-3-0-its-over/?itm_term=home,,,LOCKDOWN LUNACY 3.0—It's over. • Children's Health Defense,"If you’re living in the United States, like I am, you probably think my declaration that this pandemic is “over” to be somewhere between wishful thinking and incredibly premature but I promise to support my assertion with data, and the wisdom of people far more expert than me who are having a ...",,,,1.71
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-07-31 15:28:20 EDT,2020-07-31,15:28:20,Photo,41,13,2,9,0,7,0,6,4,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2671663983109184,"Censored! Trying to share the America’s Frontline Doctors latest video addressing censorship, and was censored. They have a new website: https://americasfrontlinedoctorsummit.com/:=:https://www.americasfrontlinedoctors.com/ . “American life has fallen casualty to a massive disinformation campaign. We can speculate on how this has happened, and why it has continued, but the purpose of the inaugural White Coat Summit is to empower Americans to stop living in fear. If Americans continue to let so-called experts and media personalities make their decisions, the great American experiment of a Constitutional Republic with Representative Democracy, will cease.” #americasfrontlinedoctors #americasfrontlinedoctorssummit #stopcensorship #hydroxychloroquine #fear",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2671663983109184/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fcircleofmamas%2Fphotos%2Fa.1876263759315881%2F2671663983109184%2F%3Ftype%3D3,"Your Post Goes Against Our Community Guidelines We removed your post because it goes against our Community Guidelines. We created these guidelines to support and protect our community on Instagram. Post removed for harmful false information Posted Jul 31, 2020 at 12:17:17 PM Harmful false information guidelines",Timeline Photos,,,,,2.16
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1909719,1951898,2020-07-31 15:01:11 EDT,2020-07-31,15:01:11,Photo,"2,954",494,28,1253,11,9,1158,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3311356628907073,,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/3311356628907073/?type=3,,First rule of cleaning while listening to music. The toilet brush is NEVER the microphone.,Timeline Photos,,,,,1.99
