Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910586,1952254,2020-06-30 23:00:18 EDT,2020-07-01,23:00:18,Photo,"4,983",2861,45,1282,722,2,1,0,0,70,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3223723161003754,Yes.,https://www.facebook.com/VegetableJuicing/photos/a.181515575236990/3034541783267674/?type=3,,"In the end, we won't remember the most beautiful face and body. We will remember the most beautiful heart and soul. Juicing Vegetables",Juicing Vegetables,♥️,,,,3.35
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910586,1952254,2020-06-30 21:00:48 EDT,2020-07-01,21:00:48,Link,77,20,35,14,0,2,6,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3220515767991160,,https://askdrnandi.com/how-to-stay-safe-in-a-salon-during-a-pandemic/?utm_source=HHL,,,How to Stay Safe in a Salon During a Pandemic,I know plenty of folks who can hardly wait to,,,,-2.17
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,32655,33904,2020-06-30 20:01:55 EDT,2020-07-01,20:01:55,Link,527,248,38,207,16,6,0,9,1,2,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/1973409869461254,"Rising temperatures and thick humid air can cause breathing difficulties for a number of people as summer approaches each year. Add a cloth face mask to the equation and those problems can worsen. Dr. Adrian DiVittorin, a pulmonologist and critical care physician states, "" wearing a mask in the heat will make adults, children, athletes, and especially those already diagnosed with pulmonary or cardiac illnesses more susceptible to breathing difficulty and heat stroke."" ""Our body has several methods and mechanisms on how we can cool ourselves down, sweating, etc. But one of them is through breathing out hot air. So if we’re increasing our work of breathing because we’re breaking through a mask in the heat and the humidity and then were unable to exhale hot air then certainly overheating can occur.,” said Dr. DiVittorio. There are several symptoms you should watch for. “If the symptoms of heat stroke or overheating or respiratory difficulties such as severe tiredness, very fast heart rate, severe panting then absolutely take the mask off, sit down and try to cool down. Take a few breaths. If your face mask gets wet from sweating, it’s basically like having a wet towel over your face and it will make breathing even more difficult.” Dr. DiVittorio said. Whether you wear a mask or not, we want you to be safe. Please make sure you are watching out for these symptoms and taking the necessary precautions to avoid overheating. https://thevaccinereaction.org/2020/06/dangers-of-wearing-masks-in-the-heat-and-humidity/?fbclid=IwAR2gJh-j4Jy1m2IggWN3JTyTQ-3MLGz0eHPNBT5q40bJiVFFslvg5y347kQ",https://thevaccinereaction.org/2020/06/dangers-of-wearing-masks-in-the-heat-and-humidity/?fbclid=IwAR2gJh-j4Jy1m2IggWN3JTyTQ-3MLGz0eHPNBT5q40bJiVFFslvg5y347kQ,,,Dangers of Wearing Masks in the Heat and Humidity,Wearing face masks in the heat and humidity can be dangerous to your health.,,,,1.32
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910635,1952283,2020-06-30 20:00:07 EDT,2020-07-01,20:00:07,Link,126,66,10,16,28,3,0,1,0,2,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3220753904634013,Where do I sign up??,https://www.healthy-holistic-living.com/the-air-force-is-looking-for-people-to-adopt-retired-military-working-dogs/?utm_source=HHL,,,The Air Force Is Looking For People To Adopt Retired Military Working Dogs,If you’re thinking about adopting a new canine companion don’t overlook the best-trained dogs out there: military working dogs.,,,,-1.33
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910635,1952283,2020-06-30 18:00:46 EDT,2020-06-30,18:00:46,Link,106,40,8,55,1,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3220751471300923,Migraines are the worst.,https://www.healthy-holistic-living.com/top-tips-to-eliminate-migraines-that-you-probably-didnt-know/?utm_source=HHL&utm_medium=PWO,,,What Causes Migraines? 4 Easy Changes for Pain Relief,"Migraines ruin your day, your ability to focus, kill your mood and keep you from being productive. Here are 4 migraine causes you can address naturally.",,,,-1.58
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-06-30 18:00:33 EDT,2020-06-30,18:00:33,Photo,197,117,14,38,25,3,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2645661119042804,"Have you noticed that despite ‘new cases’ being at an all time high, deaths are at an all time low? 🤔 - Could all the new cases have something to do with…. - The BLM protests? (Even though LITERALLY every news article says that that would be iMPoSsIbLE.) - Or double counting of new cases? https://kfoxtv.com/news/coronavirus/el-paso-coronavirus-testing-numbers-counting-people-twice-according-to-el-paso-leaders - Or the outbreaks in prisons? https://www.latimes.com/california/story/2020-06-30/california-coronavirus-inmate-release - Or the possibility of false positives? ""Review of external quality assessments revealed false positive rates of 0-16.7%, with an interquartile range of 0.8-4.0%” STUDY: https://www.researchgate.net/publication/341091306_False_positives_in_reverse_transcription_PCR_testing_for_SARS-CoV-2 - Or perhaps a sudden influx of patients from across the border: https://www.nytimes.com/2020/06/07/us/coronavirus-border-mexico-california-el-centro.html - And could the unusually high death rate in SOME NYC hospitals be botched medical care?? - #covid #coronavirus #covid19 #covid_19 #pandemic #coronavirusdeaths #coviddeaths #blm",https://www.facebook.com/circleofmamas/photos/a.2045619329046989/2645661029042813/?type=3,,"Coronavirus disease OVERVIEW STATISTICS TESTING HEALTH INFO DAILY CHANGE Deaths United States All regions 3,000 Al 250 June 28 2,000 1,000 Mar 23 Apr 22 May 22 Jun 21 Each day shows deaths reported since the previous day",Photos from Circleofmamas's post,,,,,10.37
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910635,1952283,2020-06-30 17:00:33 EDT,2020-06-30,17:00:33,Photo,632,264,17,129,5,3,211,2,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3223094744399929,😄,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2782269245149150/?type=3,,"You think you know stress? When grew up, if you missed aTV show you just missed it. Forever. holistic healthy living",Healthy Holistic Living,,,,,-2.35
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,115459,126335,2020-06-30 16:24:37 EDT,2020-06-30,16:24:37,Link,449,265,15,116,51,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2673342682913136,"Late last year, the Washington Post & other mainstream news accused CHD of using Facebook advertisements to spread “misinformation” about vaccines. The basis for these accusations is a study published in the journal ""Vaccine"" that named CHD as a top buyer of vaccine-related Facebook ads. What the media failed to inform the public is that the government-funded study authors couldn't identify even a single example of a Facebook ad from CHD that contained misinformation. We've just published a detailed response to this baseless accusation showing that the real story here is how inconveniently truthful information about vaccines is being censored and how our right to informed consent is under assault.",https://childrenshealthdefense.org/news/chd-responds-to-accusation-of-spreading-misinformation-on-facebook/,,,CHD Responds to Accusation of Spreading “Misinformation” on Facebook • Children's Health Defense,Individuals and organizations such as Children’s Health Defense that speak out on vaccine safety issues are being censored in an unprecedented manner in both mainstream media and social media platforms. Censorship is redefining even basic concepts such as informed consent by labeling all content t...,,,,1.54
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1910635,1952283,2020-06-30 16:00:27 EDT,2020-06-30,16:00:27,Link,82,58,9,8,4,2,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3220750834634320,"This couple builds a mini pub in a garden, stuns people with its handmade interior:",https://www.healthy-holistic-living.com/this-couple-builds-a-mini-pub-in-a-garden-stuns-people-with-its-handmade-interior/?utm_source=HHL,,,"This Couple Builds A Mini Pub In A Garden, Stuns People With Its Handmade Interior","One family in Wigan, England has been missing their pub so much that they had a mini pub built in their backyard.",,,,-2.04
1986: The Act,1986theact,109141140551945,INTEREST,US,An important film about the truth behind the1986 National Childhood Vaccine Injury Compensation program and vaccine makers who have immunity from prosecution.,2020-11-13 05:23:16 EST,N/A,N/A,2020-06-30 15:57:01 EDT,2020-06-30,15:57:01,Photo,435,201,13,123,93,1,0,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/1986theact/posts/187934959339229,"""Pursuing this has not been good for my career... but it doesn't matter. It's been a privilege looking after these families and their children and nothing's going to stop me from doing that."" -Andy J. Wakefield Watch Andy's latest in-depth interview on The David Knight Show: https://www.infowars.com/watch/?video=5efb755a672706002f375cc1:=:https://www.infowars.com/show/?video=5efb755a672706002f375cc1",https://www.facebook.com/1986theact/photos/a.173250444141014/187934929339232/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F1986theact%2Fphotos%2Fa.173250444141014%2F187934929339232%2F%3Ftype%3D3,BANNED VIDEO DAVID KNIGHT 10:04AM,,,,,,0
