Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912989,1877879,2020-04-30 23:02:07 EDT,2020-05-01,23:02:07,Photo,294,120,6,47,4,0,116,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3065639386812133,Oh the joy of being an indoorswoman! 😜,https://www.facebook.com/VegetableJuicing/photos/a.181515575236990/2885039608217893/?type=3,,It's a great day to be an avid indoorswoman. Just harvested some berries from my fridge & slaughtered a smoothie in my blender. Juicing Vegetables,Juicing Vegetables,Oh the joy of being an indoorswoman! 😜,,,,-5.06
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-04-30 22:56:42 EDT,2020-05-01,22:56:42,Native Video,2,0,0,2,0,0,0,0,0,0,owned,Yes,28,66,0,00:02:01,https://www.facebook.com/AutismTreatmentCenter/posts/10157200001543372,"#Vaccine injuries are REAL - Demand The White House and President Donald J. Trump SAFETY studies #VaccineDamageAwareness month is May #PleaseShare and follow Robert F. Kennedy, Jr and The HighWire with Del Bigtree —- First Lady Melania Trump does #BillGates control #DonaldTrump and run #VaccineSafety Donald Trump Jr.!?!? #VaccineGate #VaccineTruth #LookIntoIt",https://www.facebook.com/AutismTreatmentCenter/videos/271859613981466/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAutismTreatmentCenter%2Fvideos%2F271859613981466%2F,,Vaccine injuries are REAL - Demand SAFETY,,,,,-0.33
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-04-30 22:41:50 EDT,2020-05-01,22:41:50,Photo,228,113,16,51,44,0,2,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2596202520655331,"I was reading some posts for and against reopening the country. One was talking about being selfish and it got me to thinking. — There are those wanting to reopen yet they’re being classified as selfish. And then there are those that rely on all kinds of people to supply them while they cower in fear at home. Isn’t that being selfish too? — You expect your garbage to be picked up, you expect the grocery store to be open so you can get milk, you expect truck drivers to continue to supply the stores, you expect farmers, meatpackers, fruit and vegetable pickers to keep food in that very grocery store. — You expect Amazon to continue to ship all the things you are ordering while you sit at home shopping. You expect the delivery driver to leave it on your doorstep. You expect your phone to work, your power to stay on, and your mail to show up rain, sleet, or shine. And most important, you expect the doctors and nurses to be there if you need them although many of them across the country have been furloughed because their units and services have been shut down because many hospitals are empty. — The whole premise of shelter in place is based on the arrogant idea that others must risk their health so you can protect yours. There is nothing virtuous about ignoring the largely invisible army required to allow people to shelter in place. — Written by Katherine Bennett Amirteymour — #repost @meet.the.hamptons Image source @pinterest #quarantine #reopenamerica #covid_19 #publichealth #humanrights #protectallpeople #freedom",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2596202520655331/?type=3,,,Timeline Photos,,,,,12
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-04-30 21:05:25 EDT,2020-05-01,21:05:25,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/AutismTreatmentCenter/posts/10157199711048372,#HPV #Vaccine...shocking,https://link.springer.com/article/10.1007/s10067-017-3575-z?error=cookies_not_supported&code=a81596dd-3ffe-49ea-b038-6b1273a67682,https://idp.springer.com/authorize?response_type=cookie&client_id=springerlink&redirect_uri=https%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs10067-017-3575-z%3Ferror%3Dcookies_not_supported%26code%3Da81596dd-3ffe-49ea-b038-6b1273a67682,,Vaccine-related serious adverse events might have been under-recognized in the pivotal HPV vaccine randomized trial,"Letter to the Editor Published: 16 February 2017 Vaccine-related serious adverse events might have been under-recognized in the pivotal HPV vaccine randomized trial Manuel Martínez-Lavín ORCID: orcid.org/0000-0003-2349-61281:=:https://orcid.org/signin Clinical Rheumatology volume 36, page975(2017)Cite this article 46k Acces...",,,,-2
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1912989,1877879,2020-04-30 21:00:39 EDT,2020-05-01,21:00:39,Native Video,130,64,6,48,8,3,0,0,0,1,share,No,13832,236031,0,00:03:54,https://www.facebook.com/healthyholisticliving/posts/3057153700994035,,https://www.facebook.com/nordicnaturals/videos/239887350343076/,,,Nordic Naturals,,,,,-1.08
Autism Treatment Centers of North America,AutismTreatmentCenter,183543813371,MEDICAL RESEARCH CENTER,,"Fundraising Volunteer for Charities for Biomedical Guided Interventions and Treatments Associated with Autism Spectrum Disorder, ADHD and Traumatic Brain Injuries",2020-10-30 19:09:27 EDT,N/A,N/A,2020-04-30 20:58:25 EDT,2020-05-01,20:58:25,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/AutismTreatmentCenter/posts/10157199688223372,,https://vaccineimpact.com/2017/why-are-nurses-and-healthcare-workers-across-the-u-s-refusing-mandatory-flu-vaccines/?fbclid=IwAR1CUDPHMXiSVqgtGP1DgrQKo-VehniH673TAw89oqZjsF-kZ-mvpq7kXIE,,,Why Are Nurses and Healthcare Workers Across the U.S. Refusing Mandatory Flu Vaccines?,"In this investigative report by Claire Dwoskin, the founder of the Childrens Medical Safety Research Institute, we learn what the true motivations are behind hospital policies that mandate the annual",,,,-0
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913034,1877903,2020-04-30 20:00:34 EDT,2020-05-01,20:00:34,Link,352,151,23,129,32,15,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3057410434301695,Tabitha Brown has nearly garnered two million followers in one month,https://www.healthy-holistic-living.com/carrot-bacon-recipe/?utm_source=HHL&utm_medium=PP,,,VIRAL: Carrot 'Bacon' Recipe Attracts Over 12 Million Views,"If you're still in love with bacon but know you need to make a healthy switch, allow us to suggest carrot bacon! Vegan cook Tabitha Brown shows us how.",,,,2.11
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-04-30 18:57:04 EDT,2020-04-30,18:57:04,Photo,699,273,25,285,101,2,0,13,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2596079574000959,"…or remember that time they fast-tracked the #coronavirus vaccine and tested it on hundreds of thousands of people, without an inert saline placebo, without proper safety testing? . Always question the medical science. Science gets it wrong all the time. #scienceisunsettling #repost @saffronjadeandlemonade 🙏 @truth_inplainsight",https://www.facebook.com/circleofmamas/photos/a.2045619329046989/2596079320667651/?type=3,,""" Remember that one time when physicians didn't believe in washing their hands and infected and killed their patients? @SAFFRONJADEANDLEMONADE",Photos from Circleofmamas's post,,,,,36.79
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,108685,117823,2020-04-30 18:53:02 EDT,2020-04-30,18:53:02,YouTube,942,544,154,129,89,23,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2623252117922193,Dr Buttar Speaks out on Mr Kennedy and Shiva,https://m.youtube.com/watch?feature=youtu.be&v=XKgyb9cJy8g,,,Dr. Buttar Speaks out on Mr. Kennedy and Shiva,Dr Buttar Speaks out on Mr Kennedy and Shiva Facebook: https://www.facebook.com/HealthNutNews Twitter: https://twitter.com/unhealthytruth Instagram: https://...,,,,1.88
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-04-30 18:30:35 EDT,2020-04-30,18:30:35,Photo,104,50,5,17,0,13,0,4,15,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2596064610669122,"Our entire economy is being trashed, our rights are taken away, we can’t see our loved ones, our children can’t see their friends, people are trapped in abusive situations, families are without income and food, and we are being *lied to* by the very people who are supposedly protecting us. We are being destroyed by our very own government…. just so they can “save people’s lives” and -- THIS is what they’re doing?? 😔 . #filmyourhospital #tiktok #tiktoknurses #covid_19 #covid #coronavirus #pandemic #plandemic #nursesofinstagram #nurses #publichealth #billgates #cnn #cnnnews #truth #media #reporttruth #warzones #covidwarzone",https://www.facebook.com/circleofmamas/photos/a.2045619329046989/2596064350669148/?type=3,,"""Your Covid19 symptoms are definitely worsening. I'll have the nurse put you on a ventilator right after she's finished making her daily TikTok....""",Photos from Circleofmamas's post,,,,,1.79
