Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1908160,1876508,2020-11-30 22:00:49 EST,2020-12-01,22:00:49,Link,166,58,14,75,0,2,0,8,7,2,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3674798282562904,Everyone needs to know about these!,https://www.healthy-holistic-living.com/pharmaceutical-drug-health-risks/?utm_source=HHL&utm_content=47755-WF73,,,Five Pharmaceutical Drugs That Destroy Your Health,"Pharmaceutical drugs may seem like a magical cure, but often you're getting more than you bargained for.",,,,1.13
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,55363,57659,2020-11-30 20:00:42 EST,2020-12-01,20:00:42,Photo,"2,087",1363,114,182,424,0,1,1,0,2,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2146693215466251,"It just needs to be said right now. Seriously -- stop asking people to v@ccyn@te for others! Our most basic rights are to our own bodies. We decide what we eat…where we go…what we do. No one else has the right to interfere with our bodies — unless, of course, we have interfered with their bodies, and they are defending themselves. And in that case, it must be an immediate and obvious threat, not a future potential threat.",https://www.facebook.com/earthley/photos/a.749202208548699/2146693215466251/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fearthley%2525252525252525252Fphotos%2525252525252525252Fa.749202208548699%2525252525252525252F2146693215466251%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,"It's extremely selfish to demand that someone else take on the risk of v@66in@ting, ting to protect you. Where your own body ends, so do your rights. Interfering with another's body in this manner is extremely unethical, and borders on abuse if forced. You can't ask people tov@66in@te for others. Earthley wellness",Timeline Photos,,,,,2.85
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1908160,1876508,2020-11-30 20:00:31 EST,2020-12-01,20:00:31,Link,129,81,8,17,7,16,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3674797732562959,"Everything is included in the space, such as a small bed, a tiny kitchen area, insulation, some drawers and shelves, and even a stove and sink!",https://www.healthy-holistic-living.com/man-builds-150-mobile-tiny-home-he-can-tow-with-his-bike/?utm_source=HHL,,,Man Builds $150 Mobile Tiny Home He Can Tow With His Bike,"Micro-living is not for everyone but if you like a bit of eccentricity in your life, then maybe this is for you.",,,,-1.14
Children's Health Defense,ChildrensHealthDefense,1797590283821718,NONPROFIT ORGANIZATION,US,"End childhood health epidemics by exposing causes, eliminating harmful exposures; seeking justice for the injured and establishing safeguards.",2019-03-08 13:04:29 EST,129163,141707,2020-11-30 19:02:00 EST,2020-12-01,19:02:00,Photo,176,103,9,23,36,0,0,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/ChildrensHealthDefense/posts/2806166016297468,"This #GivingTuesday: Our strength is built on your support. “I’m telling you … do not despair! We are going to win this battle. We have plans and we have a strategy. We are going to sue them … in the state courts. We are going to sue them in the Federal courts … and if we need to, we will sue them in the Supreme Court! We are going to stand shoulder-to-shoulder, we are going to bring them down … and I will see you at the barricades!” Robert F. Kennedy, Jr Tomorrow is Giving Tuesday and we invite you to stand with us … united in truth. Please donate to continue our work --> https://bit.ly/33y7P7F:=:https://childrenshealthdefense.org/about-us/donate/?utm_source=fb&utm_medium=defender",https://www.facebook.com/ChildrensHealthDefense/photos/a.1806802292900517/2806164499630953/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252FChildrensHealthDefense%2525252525252525252Fphotos%2525252525252525252Fa.1806802292900517%2525252525252525252F2806164499630953%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,SEEKING JUSTICE AMPLIFYING VOICES ESTABLISHING SAFEGUARDS BUILDING A POWERHOUSE STANDING FOR TRUTH FORCING ACCOUNTABILITY,,,,,,-1.93
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,55323,57615,2020-11-30 19:01:04 EST,2020-12-01,19:01:04,Photo,892,173,166,49,1,295,5,29,173,1,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2146656232136616,"The world is lost when the POPE speaks about fellow humans this way. Utterly lacking understanding (or the desire to understand) or compassion. Branding a group of people with a broad, hateful brush. Wow. Absolutely horrible.",https://www.facebook.com/earthley/photos/a.749202208548699/2146656232136616/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fearthley%2525252525252525252Fphotos%2525252525252525252Fa.749202208548699%2525252525252525252F2146656232136616%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,"""You'll never find such people protesting the death of George Floyd, or joining a demonstration because there are shantytowns where children lack water or education, or because there are whole families who have lost their income. On such matters they would never protest; they are incapable of moving outside of their own little world of interests."" -POPE FRANCIS, ON ANTI-MASKERS Earthley ness wellness",Timeline Photos,,,,,1.22
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,55323,57615,2020-11-30 18:05:05 EST,2020-11-30,18:05:05,Photo,527,296,146,9,72,3,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2146604692141770,Fresh batch of Lymphatic Cream!,https://www.facebook.com/earthley/photos/a.749202208548699/2146604692141770/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fearthley%2525252525252525252Fphotos%2525252525252525252Fa.749202208548699%2525252525252525252F2146604692141770%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,,Timeline Photos,,,,,-1.39
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1908031,1876342,2020-11-30 18:00:57 EST,2020-11-30,18:00:57,Link,479,254,15,38,80,89,0,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3678260152216717,This photo takes my breath away.,https://www.healthy-holistic-living.com/photographer-captures-the-perfect-shot-of-stunning-bald-eagle/?utm_source=HHL,,,Photographer Captures The Perfect Shot Of Stunning Bald Eagle,Amateur photographer Steve Biro captures a stunning photo of a bald eagle that goes viral across the internet.,,,,3.26
Earthley,earthley,749122528556667,HEALTH & WELLNESS WEBSITE,US,"An all-natural alternative to your personal care and wellness needs! Soaps, salves, tinctures, and more!!!",2018-10-18 03:36:42 EDT,55323,57615,2020-11-30 17:01:16 EST,2020-11-30,17:01:16,Photo,163,131,24,7,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/earthley/posts/2146565752145664,"Do you struggle with pain, redness, and other signs of inflammation? Did you know that chronic inflammation is NOT good and can lead to many health concerns?",https://www.facebook.com/earthley/photos/a.749202208548699/2146565752145664/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fearthley%2525252525252525252Fphotos%2525252525252525252Fa.749202208548699%2525252525252525252F2146565752145664%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,DID YOU KNOW... Chronic inflammation can cause all kinds of health concerns Earthley wellness,Timeline Photos,,,,,-4.48
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1908031,1876342,2020-11-30 17:00:41 EST,2020-11-30,17:00:41,Photo,963,524,36,226,12,2,162,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3688670224509043,I've been in this place for a while.,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2802917506417657/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fhealthyholisticliving%2525252525252525252Fphotos%2525252525252525252Fa.327445603964872%2525252525252525252F2802917506417657%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,I'm at a place in my life where errands are starting to count as going out. healthy living holistic,Healthy Holistic Living,,,,,-1.64
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1908031,1876342,2020-11-30 17:00:12 EST,2020-11-30,17:00:12,Photo,468,119,20,166,8,1,154,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/3688316844544381,😂,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/3688316237877775/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fhealthyholisticliving%2525252525252525252Fphotos%2525252525252525252Fa.327445603964872%2525252525252525252F3688316237877775%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,Sweet dreams are made of cheese. Who am I to dis a brie? healthy wing holistic,,,,,,-3.37
